,SalePrice,OverallQual,1stFlrSF,TotRmsAbvGrd,YearBuilt,LotFrontage
0,130000.0,7.0,976.0,7.0,2004.0,32.0
1,119000.0,4.0,948.0,5.0,1954.0,60.0
2,140000.0,4.0,1121.0,5.0,2003.0,80.0
3,124000.0,5.0,1089.0,8.0,1880.0,50.0
4,129900.0,5.0,816.0,5.0,1957.0,73.0
5,178000.0,6.0,977.0,7.0,1985.0,77.0
6,185000.0,6.0,1163.0,8.0,1918.0,66.0
7,151000.0,6.0,1212.0,6.0,1977.0,88.0
8,107000.0,4.0,1056.0,5.0,1966.0,
9,138887.0,5.0,892.0,9.0,1914.0,96.0
10,215000.0,8.0,1456.0,7.0,2003.0,
11,176000.0,4.0,1132.0,5.0,2005.0,60.0
12,128000.0,6.0,742.0,9.0,1914.0,35.0
13,143250.0,6.0,981.0,5.0,1971.0,
14,99500.0,6.0,918.0,5.0,1979.0,55.0
15,127000.0,5.0,925.0,6.0,1977.0,41.0
16,143000.0,7.0,832.0,7.0,1920.0,50.0
17,145000.0,4.0,960.0,3.0,1965.0,
18,201000.0,7.0,1560.0,7.0,2003.0,129.0
19,149500.0,6.0,1505.0,6.0,1953.0,128.0
20,118500.0,4.0,1029.0,5.0,1961.0,61.0
21,140000.0,5.0,936.0,4.0,1980.0,60.0
22,150000.0,5.0,1053.0,6.0,1958.0,69.0
23,162000.0,5.0,1287.0,7.0,1959.0,
24,126000.0,5.0,756.0,7.0,1940.0,60.0
25,135000.0,5.0,1656.0,8.0,1973.0,87.0
26,285000.0,8.0,2129.0,9.0,1992.0,85.0
27,187100.0,7.0,1430.0,6.0,2001.0,67.0
28,132500.0,5.0,954.0,6.0,1976.0,55.0
29,165150.0,6.0,1012.0,8.0,1972.0,80.0
30,200000.0,7.0,1107.0,7.0,1973.0,
31,134000.0,5.0,1211.0,5.0,1968.0,55.0
32,194000.0,7.0,1240.0,5.0,2006.0,74.0
33,402861.0,10.0,2020.0,9.0,2009.0,94.0
34,249700.0,8.0,1656.0,7.0,2006.0,84.0
35,146000.0,5.0,1200.0,6.0,1965.0,71.0
36,108959.0,4.0,1258.0,6.0,1969.0,60.0
37,145000.0,5.0,1097.0,6.0,1994.0,112.0
38,185000.0,6.0,1442.0,6.0,1970.0,
39,119000.0,5.0,961.0,7.0,1900.0,50.0
40,745000.0,10.0,2411.0,10.0,1996.0,160.0
41,110000.0,6.0,813.0,5.0,1930.0,70.0
42,149000.0,6.0,1004.0,5.0,1970.0,
43,160000.0,5.0,1766.0,10.0,1900.0,60.0
44,147000.0,5.0,672.0,6.0,1920.0,59.0
45,115000.0,5.0,789.0,5.0,1948.0,50.0
46,145000.0,5.0,988.0,8.0,1940.0,
47,135000.0,5.0,1134.0,6.0,1960.0,70.0
48,86000.0,4.0,605.0,5.0,1920.0,58.0
49,222500.0,7.0,1153.0,8.0,1998.0,75.0
50,207500.0,6.0,1686.0,7.0,1980.0,79.0
51,180000.0,7.0,1339.0,6.0,1990.0,50.0
52,135000.0,5.0,720.0,7.0,1948.0,115.0
53,319000.0,8.0,1826.0,7.0,2005.0,69.0
54,372402.0,8.0,1710.0,6.0,2007.0,107.0
55,205000.0,7.0,952.0,5.0,1925.0,55.0
56,181000.0,6.0,926.0,7.0,1997.0,100.0
57,225000.0,7.0,1005.0,9.0,1999.0,
58,173000.0,7.0,1217.0,6.0,1990.0,
59,290000.0,8.0,1164.0,9.0,1999.0,92.0
60,170000.0,8.0,1088.0,5.0,1986.0,
61,236500.0,8.0,1616.0,5.0,1995.0,39.0
62,192000.0,8.0,1269.0,6.0,2004.0,43.0
63,196500.0,7.0,980.0,7.0,1988.0,80.0
64,150500.0,5.0,1040.0,5.0,1977.0,61.0
65,157900.0,5.0,1188.0,6.0,1962.0,
66,199900.0,7.0,1241.0,4.0,2006.0,35.0
67,293077.0,8.0,1646.0,7.0,2007.0,71.0
68,153000.0,6.0,1520.0,7.0,1955.0,80.0
69,103600.0,6.0,697.0,6.0,1925.0,54.0
70,139000.0,5.0,1121.0,5.0,1963.0,80.0
71,130500.0,5.0,816.0,5.0,1982.0,60.0
72,284000.0,8.0,1629.0,7.0,2003.0,85.0
73,100000.0,6.0,483.0,5.0,1973.0,21.0
74,128000.0,5.0,1063.0,6.0,1954.0,80.0
75,153900.0,6.0,1199.0,5.0,1993.0,55.0
76,85000.0,5.0,1022.0,4.0,1910.0,60.0
77,160000.0,6.0,1324.0,6.0,1965.0,84.0
78,187750.0,7.0,1301.0,5.0,2006.0,60.0
79,260000.0,7.0,1153.0,10.0,1980.0,94.0
80,176000.0,6.0,1382.0,6.0,1962.0,120.0
81,214500.0,6.0,1445.0,10.0,1916.0,
82,227000.0,8.0,810.0,6.0,2001.0,70.0
83,315000.0,9.0,1838.0,8.0,2006.0,85.0
84,119000.0,6.0,1032.0,6.0,1950.0,80.0
85,244000.0,7.0,2110.0,8.0,1968.0,93.0
86,118400.0,6.0,1012.0,6.0,1920.0,59.0
87,174900.0,6.0,1165.0,6.0,1966.0,82.0
88,314813.0,9.0,1828.0,9.0,2007.0,90.0
89,141000.0,5.0,1092.0,6.0,1957.0,69.0
90,190000.0,6.0,1888.0,6.0,1966.0,137.0
91,184100.0,8.0,779.0,7.0,2002.0,
92,221500.0,7.0,1614.0,7.0,2005.0,86.0
93,135000.0,5.0,980.0,6.0,1977.0,71.0
94,325000.0,10.0,1521.0,9.0,1893.0,75.0
