,SalePrice,OverallQual,1stFlrSF,TotRmsAbvGrd,YearBuilt,LotFrontage
0,192000.0,7.0,1431.0,6.0,1999.0,68.0
1,176500.0,7.0,955.0,8.0,1998.0,63.0
2,123000.0,5.0,1319.0,5.0,1953.0,79.0
3,187000.0,6.0,1020.0,7.0,1964.0,80.0
4,318000.0,8.0,1694.0,7.0,2007.0,93.0
5,130250.0,5.0,938.0,5.0,1975.0,
6,193500.0,6.0,1182.0,8.0,1968.0,100.0
7,144000.0,5.0,884.0,5.0,1983.0,
8,185000.0,5.0,1160.0,7.0,1967.0,
9,205000.0,7.0,1222.0,8.0,1994.0,
10,310000.0,8.0,1352.0,10.0,1993.0,
11,143000.0,5.0,1632.0,8.0,1967.0,100.0
12,260000.0,7.0,1530.0,7.0,2005.0,124.0
13,129500.0,6.0,1134.0,8.0,1917.0,60.0
14,60000.0,5.0,1276.0,5.0,1958.0,68.0
15,207500.0,7.0,1190.0,6.0,1984.0,
16,89500.0,6.0,483.0,5.0,1971.0,21.0
17,86000.0,5.0,691.0,4.0,1920.0,60.0
18,133000.0,5.0,768.0,5.0,1972.0,70.0
19,206900.0,6.0,1092.0,9.0,1969.0,85.0
20,250000.0,6.0,1512.0,9.0,1968.0,
21,179000.0,5.0,1200.0,5.0,1987.0,60.0
22,127500.0,6.0,980.0,4.0,1975.0,35.0
23,119500.0,6.0,780.0,7.0,1937.0,50.0
24,178740.0,7.0,1414.0,6.0,2004.0,
25,107400.0,3.0,840.0,8.0,1915.0,60.0
26,134000.0,6.0,1080.0,5.0,1983.0,71.0
27,157000.0,7.0,998.0,8.0,1920.0,60.0
28,177000.0,6.0,1172.0,9.0,1928.0,57.0
29,134900.0,6.0,786.0,4.0,1937.0,50.0
30,205000.0,7.0,1541.0,6.0,2001.0,118.0
31,302000.0,7.0,1824.0,5.0,1971.0,
32,187500.0,8.0,1360.0,4.0,1984.0,
33,324000.0,8.0,1719.0,6.0,1993.0,32.0
34,120000.0,5.0,1130.0,5.0,1920.0,60.0
35,155000.0,7.0,916.0,7.0,1915.0,50.0
36,40000.0,4.0,649.0,6.0,1920.0,50.0
37,267000.0,8.0,1210.0,9.0,1998.0,66.0
38,239000.0,9.0,1800.0,7.0,2007.0,122.0
39,369900.0,8.0,2028.0,7.0,2005.0,88.0
40,142500.0,6.0,1141.0,6.0,2005.0,63.0
41,228950.0,5.0,1619.0,7.0,1965.0,
42,159000.0,6.0,1004.0,7.0,1947.0,50.0
43,147000.0,6.0,855.0,6.0,1974.0,24.0
44,189000.0,7.0,1028.0,7.0,1999.0,60.0
45,148800.0,7.0,551.0,4.0,2004.0,
46,118500.0,5.0,832.0,6.0,1947.0,80.0
47,116000.0,6.0,734.0,6.0,1920.0,40.0
48,196000.0,7.0,1391.0,5.0,2004.0,59.0
49,194700.0,6.0,1362.0,6.0,2005.0,61.0
50,118500.0,4.0,954.0,10.0,1912.0,60.0
51,239000.0,8.0,1571.0,7.0,2007.0,89.0
52,100000.0,5.0,892.0,5.0,1967.0,65.0
53,170000.0,5.0,1096.0,7.0,1936.0,60.0
54,138500.0,5.0,894.0,5.0,1965.0,65.0
55,130000.0,5.0,926.0,6.0,1929.0,50.0
56,132500.0,5.0,999.0,6.0,1962.0,
57,377500.0,9.0,1746.0,7.0,2006.0,42.0
58,89000.0,5.0,616.0,4.0,1921.0,50.0
59,260400.0,7.0,1720.0,7.0,1996.0,59.0
60,116050.0,4.0,864.0,5.0,1970.0,71.0
61,129500.0,5.0,1040.0,5.0,1965.0,70.0
62,195000.0,7.0,831.0,7.0,2002.0,68.0
63,136000.0,6.0,1080.0,5.0,1958.0,75.0
64,170000.0,5.0,1389.0,6.0,1974.0,77.0
65,611657.0,9.0,2364.0,11.0,2009.0,100.0
66,149000.0,7.0,851.0,6.0,1931.0,60.0
67,392500.0,8.0,1652.0,5.0,2008.0,64.0
68,235000.0,8.0,1625.0,5.0,2006.0,44.0
69,79900.0,4.0,747.0,5.0,1926.0,52.0
70,156932.0,6.0,616.0,6.0,2006.0,73.0
71,171750.0,7.0,1405.0,6.0,2003.0,
72,174000.0,6.0,684.0,6.0,2005.0,122.0
73,159000.0,6.0,1085.0,7.0,1962.0,77.0
74,76000.0,6.0,784.0,5.0,1928.0,60.0
75,150000.0,4.0,1440.0,8.0,1977.0,42.0
76,194500.0,7.0,1232.0,6.0,2007.0,64.0
77,143000.0,5.0,1473.0,5.0,1968.0,65.0
78,367294.0,9.0,1702.0,7.0,2008.0,65.0
79,270000.0,8.0,1494.0,6.0,1995.0,30.0
80,140000.0,6.0,1095.0,6.0,1958.0,75.0
81,165500.0,5.0,1110.0,4.0,1978.0,
82,115000.0,5.0,616.0,4.0,1976.0,
83,128500.0,5.0,854.0,7.0,1941.0,
84,141000.0,7.0,1080.0,6.0,2004.0,63.0
85,108000.0,5.0,948.0,6.0,1968.0,
86,190000.0,7.0,1500.0,6.0,2004.0,63.0
87,185000.0,7.0,1221.0,6.0,2004.0,62.0
88,250000.0,8.0,1145.0,9.0,2000.0,84.0
89,392000.0,8.0,1419.0,7.0,2007.0,60.0
90,196000.0,6.0,1567.0,5.0,1977.0,
91,127500.0,6.0,1069.0,4.0,1977.0,53.0
92,112000.0,5.0,630.0,6.0,1971.0,21.0
93,155835.0,7.0,728.0,8.0,2006.0,85.0
94,446261.0,9.0,1476.0,11.0,2008.0,67.0
95,161000.0,7.0,689.0,7.0,1928.0,60.0
96,241500.0,7.0,1872.0,6.0,1988.0,80.0
97,234000.0,7.0,1557.0,7.0,2003.0,
98,166000.0,6.0,1392.0,6.0,1957.0,80.0
99,171000.0,6.0,888.0,7.0,1980.0,70.0
100,112000.0,4.0,796.0,6.0,1910.0,70.0
101,184900.0,7.0,1200.0,5.0,2003.0,67.0
102,124000.0,5.0,1040.0,5.0,1978.0,60.0
103,187000.0,6.0,832.0,7.0,1993.0,76.0
104,198900.0,7.0,1226.0,6.0,2009.0,94.0
105,197000.0,7.0,1040.0,6.0,1979.0,80.0
106,190000.0,6.0,790.0,6.0,1976.0,
107,221000.0,7.0,1494.0,6.0,2002.0,88.0
108,350000.0,9.0,1462.0,10.0,2004.0,74.0
109,127000.0,5.0,936.0,5.0,1908.0,92.0
110,98000.0,5.0,864.0,5.0,1925.0,67.0
111,155000.0,5.0,1269.0,6.0,1960.0,70.0
112,134900.0,5.0,858.0,5.0,1982.0,
113,337500.0,10.0,1718.0,7.0,2006.0,96.0
114,78000.0,5.0,596.0,6.0,1920.0,60.0
115,103000.0,4.0,848.0,5.0,1925.0,52.0
116,81000.0,3.0,894.0,6.0,1935.0,120.0
117,305900.0,8.0,2000.0,8.0,2004.0,80.0
118,169000.0,5.0,1547.0,7.0,1948.0,
119,187500.0,6.0,691.0,6.0,1995.0,
120,220000.0,7.0,1604.0,8.0,2006.0,68.0
121,106000.0,5.0,1075.0,11.0,1898.0,90.0
122,110000.0,5.0,816.0,5.0,1963.0,110.0
123,137000.0,5.0,935.0,5.0,1965.0,
124,175500.0,7.0,1242.0,6.0,1973.0,80.0
125,122000.0,5.0,969.0,5.0,1975.0,120.0
126,215000.0,7.0,1494.0,5.0,1998.0,
127,152000.0,6.0,1097.0,6.0,1984.0,81.0
128,129900.0,5.0,1060.0,6.0,1976.0,44.0
129,60000.0,2.0,800.0,4.0,1936.0,51.0
130,177000.0,6.0,1357.0,5.0,1959.0,124.0
131,276000.0,8.0,1482.0,10.0,2007.0,69.0
132,287090.0,8.0,1578.0,7.0,2008.0,78.0
133,165000.0,6.0,1350.0,7.0,1974.0,78.0
134,179200.0,6.0,1575.0,5.0,1992.0,50.0
135,105500.0,6.0,832.0,4.0,1954.0,59.0
136,131500.0,5.0,1039.0,6.0,1965.0,75.0
137,254000.0,8.0,1324.0,6.0,2006.0,48.0
138,190000.0,7.0,864.0,7.0,2004.0,65.0
139,214900.0,7.0,824.0,8.0,2002.0,80.0
140,139000.0,5.0,1092.0,6.0,1962.0,
141,118858.0,5.0,1535.0,8.0,1979.0,64.0
142,168500.0,6.0,756.0,4.0,2000.0,
143,164000.0,8.0,1080.0,8.0,1988.0,152.0
144,145000.0,5.0,1056.0,5.0,1955.0,100.0
145,179665.0,7.0,664.0,7.0,2006.0,58.0
